id,name,createtime,dim1,dim2,dim3,member
x00001,³¬¼¶°ô1,1647744001,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00001
x00002,³¬¼¶°ô2,1647744002,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00002
x00003,³¬¼¶°ô3,1647744003,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00003
x00004,³¬¼¶°ô4,1647744004,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00004
x00005,³¬¼¶°ô5,1647744005,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00005
x00006,³¬¼¶°ô6,1647744006,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00006
x00007,³¬¼¶°ô7,1647744007,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00007
x00008,³¬¼¶°ô8,1647744008,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00008
x00009,³¬¼¶°ô9,1647744009,dim1a,dim2b,dim3a,dim1a-dim2b-dim3a--x00009
x00010,³¬¼¶°ô10,1647744010,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00010
x00011,³¬¼¶°ô11,1647744011,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00011
x00012,³¬¼¶°ô12,1647744012,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00012
x00013,³¬¼¶°ô13,1647744013,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00013
x00014,³¬¼¶°ô14,1647744014,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00014
x00015,³¬¼¶°ô15,1647744015,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00015
x00016,³¬¼¶°ô16,1647744016,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00016
x00017,³¬¼¶°ô17,1647744017,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00017
x00018,³¬¼¶°ô18,1647744018,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00018
x00019,³¬¼¶°ô19,1647744019,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00019
x00020,³¬¼¶°ô20,1647744020,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00020
x00021,³¬¼¶°ô21,1647744021,dim1b,dim2a,dim3a,dim1b-dim2a-dim3a--x00021
x00022,³¬¼¶°ô22,1647744022,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00022
x00023,³¬¼¶°ô23,1647744023,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00023
x00024,³¬¼¶°ô24,1647744024,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00024
x00025,³¬¼¶°ô25,1647744025,dim1b,dim2a,dim3b,dim1b-dim2a-dim3b--x00025
x00026,³¬¼¶°ô26,1647744026,dim1b,dim2c,dim3b,dim1b-dim2c-dim3b--x00026
x00027,³¬¼¶°ô27,1647744027,dim1a,dim2c,dim3b,dim1a-dim2c-dim3b--x00027
x00028,³¬¼¶°ô28,1647744028,dim1a,dim2c,dim3b,dim1a-dim2c-dim3b--x00028
x00029,³¬¼¶°ô29,1647744029,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00029
x00030,³¬¼¶°ô30,1647744030,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00030
x00031,³¬¼¶°ô31,1647744031,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00031
x00032,³¬¼¶°ô32,1647744032,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00032
x00033,³¬¼¶°ô33,1647744033,dim1a,dim2b,dim3b,dim1a-dim2b-dim3b--x00033
x00034,³¬¼¶°ô34,1647744034,dim1a,dim2b,dim3c,dim1a-dim2b-dim3c--x00034
